,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,1139,3058,Peptides
33,Q8K3A9,Q8K3A9,MEPCE_MOUSE,Mepce,7SK snRNA methylphosphate capping enzyme,0.0,147702.0,
34,O35381;Q9EST5,O35381;Q9EST5,AN32A_MOUSE;AN32B_MOUSE,Anp32a;Anp32b,Acidic leucine-rich nuclear phosphoprotein 32 family member A,0.0,28918.0,
35,Q9Z2N8,Q9Z2N8,ACL6A_MOUSE,Actl6a,Actin-like protein 6A,0.0,12546.3,
36,Q99MR0,Q99MR0;Q9Z2N8,ACL6B_MOUSE,Actl6b,Actin-like protein 6B,0.0,87982.0,
37,P37172,P37172,ACVR1_MOUSE,Acvr1,Activin receptor type-1,0.0,19868.6,
38,Q9Z103,Q9Z103,ADNP_MOUSE,Adnp,Activity-dependent neuroprotector homeobox protein,0.0,25420.3,
39,Q91YX5,Q91YX5,LGAT1_MOUSE,Lpgat1,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1,0.0,29726.3,
40,O55137;Q32Q92;Q6Q2Z6;Q8BWN8;Q9QYR7;Q9QYR9,O55137;Q6Q2Z6;Q8BWN8;Q9QYR7;Q9QYR9;Q32Q92,ACOT1_MOUSE;ACOT2_MOUSE;ACOT3_MOUSE;ACOT4_MOUSE;ACOT5_MOUSE;ACOT6_MOUSE,Acot1;Acot2;Acot3;Acot4;Acot5;Acot6,Acyl-coenzyme A thioesterase 1,0.0,12600.0,
41,Q61315,Q61315,APC_MOUSE,Apc,Adenomatous polyposis coli protein,0.0,20935.8,
42,P70349,P70349,HINT1_MOUSE,Hint1,Adenosine 5'-monophosphoramidase HINT1,0.0,38849.1,
43,P51830,P51830,ADCY9_MOUSE,Adcy9,Adenylate cyclase type 9,0.0,20810.7,
44,P28650,P28650,PURA1_MOUSE,Adss1,Adenylosuccinate synthetase isozyme 1,0.0,72992.8,
45,P40124,P40124,CAP1_MOUSE,Cap1,Adenylyl cyclase-associated protein 1,0.0,48149.9,
46,Q8VHN7,Q8VHN7,AGRV1_MOUSE,Adgrv1,Adhesion G-protein coupled receptor V1,0.0,0.0,
47,Q9QXJ4,Q9QXJ4,ARL10_MOUSE,Arl10,ADP-ribosylation factor-like protein 10,0.0,41912.2,
48,Q9JM93,Q9JM93,AR6P4_MOUSE,Arl6ip4,ADP-ribosylation factor-like protein 6-interacting protein 4,0.0,48228.0,
49,O55112,O55112,AFF2_MOUSE,Aff2,AF4/FMR2 family member 2,0.0,23053.3,
50,Q3V384,Q3V384,AFG1L_MOUSE,Afg1l,AFG1-like ATPase,0.0,0.0,
51,O88845,O88845,AKA10_MOUSE,Akap10,"A-kinase anchor protein 10, mitochondrial",0.0,25976.0,
52,O54931,O54931,AKAP2_MOUSE,Akap2,A-kinase anchor protein 2,0.0,5576.99,
53,O55074;Q7TN79,O55074;Q7TN79,AKA7A_MOUSE;AKA7G_MOUSE,Akap7,A-kinase anchor protein 7 isoform alpha,0.0,24120.2,
54,Q9DBR0,Q9DBR0,AKAP8_MOUSE,Akap8,A-kinase anchor protein 8,0.0,300881.0,
55,Q8BGQ7,Q8BGQ7,SYAC_MOUSE,Aars1,"Alanine--tRNA ligase, cytoplasmic",0.0,37751.0,
56,Q9DBT5,Q9DBT5,AMPD2_MOUSE,Ampd2,AMP deaminase 2,0.0,19806.9,
57,Q76N33,Q76N33,STALP_MOUSE,Stambpl1,AMSH-like protease,0.0,59860.5,
58,P53995,P53995,APC1_MOUSE,Anapc1,Anaphase-promoting complex subunit 1,0.0,24275.4,
59,Q99NH0,Q99NH0,ANR17_MOUSE,Ankrd17,Ankyrin repeat domain-containing protein 17,0.0,35873.3,
60,Q07076,Q07076,ANXA7_MOUSE,Anxa7,Annexin A7,0.0,20083.5,
61,O35841,O35841,API5_MOUSE,Api5,Apoptosis inhibitor 5,0.0,54982.2,
62,Q80WC7,Q80WC7,AGFG2_MOUSE,Agfg2,Arf-GAP domain and FG repeat-containing protein 2,0.0,54845.4,
63,A2RTL5,A2RTL5,RSRC2_MOUSE,Rsrc2,Arginine/serine-rich coiled-coil protein 2,0.0,97598.5,
64,A2AJT4,A2AJT4,PNISR_MOUSE,Pnisr,Arginine/serine-rich protein PNISR,0.0,49197.4,
65,Q9D7A8,Q9D7A8,ARMC1_MOUSE,Armc1,Armadillo repeat-containing protein 1,0.0,16408.5,
66,Q9D0A3,Q9D0A3,ARPIN_MOUSE,Arpin,Arpin,0.0,46765.9,
67,Q61324,Q61324,ARNT2_MOUSE,Arnt2,Aryl hydrocarbon receptor nuclear translocator 2,0.0,5902.61,
68,P54254,P54254,ATX1_MOUSE,Atxn1,Ataxin-1,0.0,28038.7,
69,P0C7T6,P0C7T6,ATX1L_MOUSE,Atxn1l,Ataxin-1-like,0.0,11233.6,
70,Q6PA06,Q6PA06,ATLA2_MOUSE,Atl2,Atlastin-2,0.0,50766.0,
71,Q91YH5,Q91YH5,ATLA3_MOUSE,Atl3,Atlastin-3,0.0,12356.1,
72,Q811I0,Q811I0,ATPF1_MOUSE,Atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1,0.0,24387.5,
73,Q8VHK9,Q8VHK9,DHX36_MOUSE,Dhx36,ATP-dependent DNA/RNA helicase DHX36,0.0,40343.1,
74,Q8VDW0,Q8VDW0,DX39A_MOUSE,Ddx39a,ATP-dependent RNA helicase DDX39A,0.0,37145.8,
75,O35286,O35286;A2A4P0,DHX15_MOUSE,Dhx15,ATP-dependent RNA helicase DHX15,0.0,340633.0,
76,A2BH40,A2BH40,ARI1A_MOUSE,Arid1a,AT-rich interactive domain-containing protein 1A,0.0,41581.7,
77,O88738,O88738,BIRC6_MOUSE,Birc6,Baculoviral IAP repeat-containing protein 6,0.0,26044.8,
78,Q8CI61,Q8CI61,BAG4_MOUSE,Bag4,BAG family molecular chaperone regulator 4,0.0,40722.3,
79,Q9D219,Q9D219,BCL9_MOUSE,Bcl9,B-cell CLL/lymphoma 9 protein,0.0,22411.1,
80,Q99L88,Q99L88,SNTB1_MOUSE,Sntb1,Beta-1-syntrophin,0.0,20776.2,
81,Q91WG8,Q91WG8,GLCNE_MOUSE,Gne,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,0.0,65768.9,
82,Q8R016,Q8R016,BLMH_MOUSE,Blmh,Bleomycin hydrolase,0.0,0.0,
83,Q9ESU6,Q9ESU6,BRD4_MOUSE,Brd4,Bromodomain-containing protein 4,0.0,13645.7,
84,Q9DB72,Q9DB72,BTBDH_MOUSE,Btbd17,BTB/POZ domain-containing protein 17,0.0,30198.1,
85,Q9JMD0,Q9JMD0,ZN207_MOUSE,Znf207,BUB3-interacting and GLEBS motif-containing protein ZNF207,0.0,471779.0,
86,Q8R149,Q8R149,BUD13_MOUSE,Bud13,BUD13 homolog,0.0,87399.9,
87,Q7TPS5,Q7TPS5,C2CD5_MOUSE,C2cd5,C2 domain-containing protein 5,0.0,11893.9,
88,Q9CS00,Q9CS00,CATIN_MOUSE,Cactin,Cactin,0.0,23787.1,
89,Q78WH7,Q78WH7,CK2N2_MOUSE,Camk2n2,Calcium/calmodulin-dependent protein kinase II inhibitor 2,0.0,28161.3,
90,Q9QYK9,Q9QYK9,KCC1B_MOUSE,Pnck,Calcium/calmodulin-dependent protein kinase type 1B,0.0,10507.6,
91,Q8CGU1,Q8CGU1,CACO1_MOUSE,Calcoco1,Calcium-binding and coiled-coil domain-containing protein 1,0.0,38918.5,
92,Q6GQS1,Q6GQS1,SCMC3_MOUSE,Slc25a23,Calcium-binding mitochondrial carrier protein SCaMC-3,0.0,40291.7,
93,Q9CR86,Q9CR86,CHSP1_MOUSE,Carhsp1,Calcium-regulated heat stable protein 1,0.0,3552.71,
94,Q9CXW3,Q9CXW3,CYBP_MOUSE,Cacybp,Calcyclin-binding protein,0.0,22694.5,
95,P63054,P63054,PCP4_MOUSE,Pcp4,Calmodulin regulator protein PCP4,0.0,24583.7,
96,A2A891,A2A891,CMTA1_MOUSE,Camta1,Calmodulin-binding transcription activator 1,0.0,33516.2,
97,Q9DBC7,Q9DBC7,KAP0_MOUSE,Prkar1a,cAMP-dependent protein kinase type I-alpha regulatory subunit,0.0,63420.3,
98,P56212;P60840,P60840;P56212,ARP19_MOUSE;ENSA_MOUSE,Arpp19;Ensa,cAMP-regulated phosphoprotein 19,0.0,48630.1,
99,O89084,O89084,PDE4A_MOUSE,Pde4a,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",0.0,8005.3,
100,Q922J3,Q922J3,CLIP1_MOUSE,Clip1,CAP-Gly domain-containing linker protein 1,0.0,22798.3,
101,Q60737,Q60737,CSK21_MOUSE,Csnk2a1,Casein kinase II subunit alpha,0.0,58846.5,
102,O54833,O54833,CSK22_MOUSE,Csnk2a2,Casein kinase II subunit alpha',0.0,86027.3,
103,P18242,P18242,CATD_MOUSE,Ctsd,Cathepsin D,0.0,0.0,
104,Q6PEE2,Q6PEE2,CTIF_MOUSE,Ctif,CBP80/20-dependent translation initiation factor,0.0,8608.73,
105,Q9CWN7,Q9CWN7,CNO11_MOUSE,Cnot11,CCR4-NOT transcription complex subunit 11,0.0,27764.0,
106,Q8C5L3,Q8C5L3,CNOT2_MOUSE,Cnot2,CCR4-NOT transcription complex subunit 2,0.0,33693.0,
107,Q8K0V4,Q8K0V4,CNOT3_MOUSE,Cnot3,CCR4-NOT transcription complex subunit 3,0.0,6615.81,
108,Q9CWK3,Q9CWK3,CD2B2_MOUSE,Cd2bp2,CD2 antigen cytoplasmic tail-binding protein 2,0.0,39821.6,
109,Q8BI72,Q8BI72,CARF_MOUSE,Cdkn2aip,CDKN2A-interacting protein,0.0,264006.0,
110,Q9D211,Q9D211,C2AIL_MOUSE,Cdkn2aipnl,CDKN2AIP N-terminal-like protein,0.0,47264.6,
111,Q6A068,Q6A068,CDC5L_MOUSE,Cdc5l,Cell division cycle 5-like protein,0.0,38328.8,
112,Q7TSH4,Q7TSH4,CP110_MOUSE,Ccp110,Centriolar coiled-coil protein of 110 kDa,0.0,22949.6,
113,Q6ZQ06,Q6ZQ06,CE162_MOUSE,Cep162,Centrosomal protein of 162 kDa,0.0,18135.8,
114,P49586,P49586,PCY1A_MOUSE,Pcyt1a,Choline-phosphate cytidylyltransferase A,0.0,92141.8,
115,Q6PDQ2,A2A8L1;Q6PDQ2,CHD4_MOUSE,Chd4,Chromodomain-helicase-DNA-binding protein 4,0.0,96905.6,
116,A3KFM7;Q09XV5,A2AJK6;A3KFM7;E9PZM4;P40201;Q09XV5;Q8BYH8,CHD6_MOUSE;CHD8_MOUSE,Chd6;Chd8,Chromodomain-helicase-DNA-binding protein 6,0.0,33659.5,
117,Q8K327,Q8K327,CHAP1_MOUSE,Champ1,Chromosome alignment-maintaining phosphoprotein 1,0.0,38460.3,
118,Q8C6G1,Q8C6G1,CF410_MOUSE,Cfap410,Cilia- and flagella-associated protein 410,0.0,24297.7,
119,Q9EPU4,Q9EPU4,CPSF1_MOUSE,Cpsf1,Cleavage and polyadenylation specificity factor subunit 1,0.0,289779.0,
120,Q9QXK7,Q9QXK7,CPSF3_MOUSE,Cpsf3,Cleavage and polyadenylation specificity factor subunit 3,0.0,184785.0,
121,Q8BQZ5,Q8BQZ5,CPSF4_MOUSE,Cpsf4,Cleavage and polyadenylation specificity factor subunit 4,0.0,269605.0,
122,Q8BIQ5,Q8BIQ5;Q8C7E9,CSTF2_MOUSE,Cstf2,Cleavage stimulation factor subunit 2,0.0,725172.0,
123,Q8C7E9,Q8C7E9,CSTFT_MOUSE,Cstf2t,Cleavage stimulation factor subunit 2 tau variant,0.0,283919.0,
124,Q99LI7,Q99LI7,CSTF3_MOUSE,Cstf3,Cleavage stimulation factor subunit 3,0.0,70864.8,
125,Q8CFC7,Q8CFC7,CLASR_MOUSE,Clasrp,CLK4-associating serine/arginine rich protein,0.0,48775.6,
126,Q8CIE6,Q8CIE6,COPA_MOUSE,Copa,Coatomer subunit alpha,0.0,58297.3,
127,Q8K1A6,Q8K1A6,C2D1A_MOUSE,Cc2d1a,Coiled-coil and C2 domain-containing protein 1A,0.0,14816.8,
128,Q3TVA9,Q3TVA9,CC136_MOUSE,Ccdc136,Coiled-coil domain-containing protein 136,0.0,31698.5,
129,D3YZP9,D3YZP9,CCDC6_MOUSE,Ccdc6,Coiled-coil domain-containing protein 6,0.0,29417.6,
130,Q5SP85,Q5SP85,CC85A_MOUSE,Ccdc85a,Coiled-coil domain-containing protein 85A,0.0,50806.4,
131,Q8VC31,Q8VC31,CCDC9_MOUSE,Ccdc9,Coiled-coil domain-containing protein 9,0.0,10352.7,
132,Q5SU73,Q5SU73,COIL_MOUSE,Coil,Coilin,0.0,26612.7,
133,O35658,O35658,C1QBP_MOUSE,C1qbp,"Complement component 1 Q subcomponent-binding protein, mitochondrial",0.0,35610.4,
134,Q99LD4,Q99LD4,CSN1_MOUSE,Gps1,COP9 signalosome complex subunit 1,0.0,8540.29,
135,Q9D8X1,Q9D8X1,CUTC_MOUSE,Cutc,Copper homeostasis protein cutC homolog,0.0,31133.6,
136,O89053,O89053,COR1A_MOUSE,Coro1a,Coronin-1A,0.0,13619.3,
137,P28659,P28659,CELF1_MOUSE,Celf1,CUGBP Elav-like family member 1,0.0,552516.0,
138,Q9Z0H4,Q9Z0H4,CELF2_MOUSE,Celf2,CUGBP Elav-like family member 2,0.0,1186940.0,
139,Q8CIN6,Q8CIN6,CELF3_MOUSE,Celf3,CUGBP Elav-like family member 3,0.0,147782.0,
140,Q7TN33,Q7TN33,CELF6_MOUSE,Celf6,CUGBP Elav-like family member 6,0.0,307005.0,
141,A2A432,A2A432;Q3TCH7,CUL4B_MOUSE,Cul4b,Cullin-4B,0.0,40412.7,
142,P24788,P24788,CD11B_MOUSE,Cdk11b,Cyclin-dependent kinase 11B,0.0,48487.5,
143,Q14AX6,Q14AX6,CDK12_MOUSE,Cdk12,Cyclin-dependent kinase 12,0.0,36071.8,
144,Q9QWV9,Q9QWV9,CCNT1_MOUSE,Ccnt1,Cyclin-T1,0.0,15804.0,
145,Q9D1P4,Q9D1P4,CHRD1_MOUSE,Chordc1,Cysteine and histidine-rich domain-containing protein 1,0.0,31119.6,
146,Q812E0,Q812E0,CPEB2_MOUSE,Cpeb2,Cytoplasmic polyadenylation element-binding protein 2,0.0,104024.0,
147,Q7TN98,Q7TN98,CPEB4_MOUSE,Cpeb4,Cytoplasmic polyadenylation element-binding protein 4,0.0,37262.1,
148,Q99M51,Q99M51,NCK1_MOUSE,Nck1,Cytoplasmic protein NCK1,0.0,54833.0,
149,Q9JII5,Q9JII5,DAZP1_MOUSE,Dazap1,DAZ-associated protein 1,0.0,484446.0,
150,Q80T85,Q80T85,DCAF5_MOUSE,Dcaf5,DDB1- and CUL4-associated factor 5,0.0,31410.6,
151,Q8C9B9,Q8C9B9,DIDO1_MOUSE,Dido1,Death-inducer obliterator 1,0.0,61285.9,
152,Q8BHC4,Q8BHC4,DCAKD_MOUSE,Dcakd,Dephospho-CoA kinase domain-containing protein,0.0,46010.4,
153,P55849,P55849,DSC1_MOUSE,Dsc1,Desmocollin-1,0.0,0.0,
154,Q6WQJ1,Q6WQJ1,DGLA_MOUSE,Dagla,Diacylglycerol lipase-alpha,0.0,21397.5,
155,Q8BWT5,Q8BWT5,DIP2A_MOUSE,Dip2a,Disco-interacting protein 2 homolog A,0.0,20274.0,
156,Q3UH60,Q3UH60,DIP2B_MOUSE,Dip2b,Disco-interacting protein 2 homolog B,0.0,18564.5,
157,Q99ML4,Q99ML4,DIK1B_MOUSE,Dipk1b,Divergent protein kinase domain 1B,0.0,32055.6,
158,Q9JI44,Q9JI44,DMAP1_MOUSE,Dmap1,DNA methyltransferase 1-associated protein 1,0.0,41461.8,
159,Q9QZD4,Q9QZD4,XPF_MOUSE,Ercc4,DNA repair endonuclease XPF,0.0,29365.0,
160,Q64511,Q64511,TOP2B_MOUSE,Top2b,DNA topoisomerase 2-beta,0.0,37012.1,
161,Q9Z321,Q9Z321,TOP3B_MOUSE,Top3b,DNA topoisomerase 3-beta-1,0.0,84835.9,
162,Q9JL61,Q9JL61,RFX5_MOUSE,Rfx5,DNA-binding protein Rfx5,0.0,42166.4,
163,Q99M87,Q99M87,DNJA3_MOUSE,Dnaja3,"DnaJ homolog subfamily A member 3, mitochondrial",0.0,24031.0,
164,Q9QYI4,Q9QYI4,DJB12_MOUSE,Dnajb12,DnaJ homolog subfamily B member 12,0.0,16828.4,
165,Q9D832,Q9D832,DNJB4_MOUSE,Dnajb4,DnaJ homolog subfamily B member 4,0.0,11295.8,
166,Q7TNF0,Q7TNF0,DOC2A_MOUSE,Doc2a,Double C2-like domain-containing protein alpha,0.0,14681.5,
167,Q9Z108,Q9Z108,STAU1_MOUSE,Stau1,Double-stranded RNA-binding protein Staufen homolog 1,0.0,132926.0,
168,Q91ZS8,Q91ZS8,RED1_MOUSE,Adarb1,Double-stranded RNA-specific editase 1,0.0,14074.9,
169,P70236,P70236,MP2K6_MOUSE,Map2k6,Dual specificity mitogen-activated protein kinase kinase 6,0.0,34737.5,
170,O35492,O35492,CLK3_MOUSE,Clk3,Dual specificity protein kinase CLK3,0.0,27402.8,
171,Q61214,Q61214,DYR1A_MOUSE,Dyrk1a,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,0.0,44975.9,
172,P39054,P39054,DYN2_MOUSE,Dnm2,Dynamin-2,0.0,27944.2,
173,Q9D0M5,Q9D0M5,DYL2_MOUSE,Dynll2,"Dynein light chain 2, cytoplasmic",0.0,34912.7,
174,Q08274,Q08274,DMWD_MOUSE,Dmwd,Dystrophia myotonica WD repeat-containing protein,0.0,42032.9,
175,Q8CHI8,Q8CHI8,EP400_MOUSE,Ep400,E1A-binding protein p400,0.0,17902.7,
176,Q3U319,Q3U319,BRE1B_MOUSE,Rnf40,E3 ubiquitin-protein ligase BRE1B,0.0,77970.3,
177,Q7TPV2,Q7TPV2,DZIP3_MOUSE,Dzip3,E3 ubiquitin-protein ligase DZIP3,0.0,35433.6,
178,Q9JIY2,Q9JIY2,HAKAI_MOUSE,Cbll1,E3 ubiquitin-protein ligase Hakai,0.0,42931.8,
179,Q4U2R1,Q4U2R1,HERC2_MOUSE,Herc2,E3 ubiquitin-protein ligase HERC2,0.0,25418.9,
180,Q6A009,Q6A009,LTN1_MOUSE,Ltn1,E3 ubiquitin-protein ligase listerin,0.0,9528.04,
181,Q80U04,Q80U04,PJA2_MOUSE,Pja2,E3 ubiquitin-protein ligase Praja-2,0.0,22557.2,
182,Q9JI90,Q9JI90,RNF14_MOUSE,Rnf14,E3 ubiquitin-protein ligase RNF14,0.0,18695.7,
183,Q8C006,Q8C006,TRI35_MOUSE,Trim35,E3 ubiquitin-protein ligase TRIM35,0.0,4371.91,
184,G5E870,G5E870,TRIPC_MOUSE,Trip12,E3 ubiquitin-protein ligase TRIP12,0.0,18556.1,
185,O88196,O88196,TTC3_MOUSE,Ttc3,E3 ubiquitin-protein ligase TTC3,0.0,95697.0,
186,E9PVA8,E9PVA8,GCN1_MOUSE,Gcn1,eIF-2-alpha kinase activator GCN1,0.0,53665.6,
187,Q60899,Q60899,ELAV2_MOUSE,Elavl2,ELAV-like protein 2,0.0,391500.0,
188,Q99LC5,Q99LC5,ETFA_MOUSE,Etfa,"Electron transfer flavoprotein subunit alpha, mitochondrial",0.0,27469.3,
189,Q3V1U8,Q3V1U8,ELMD1_MOUSE,Elmod1,ELMO domain-containing protein 1,0.0,8102.06,
190,Q7TT37,Q7TT37,ELP1_MOUSE,Elp1,Elongator complex protein 1,0.0,36132.2,
191,P83940,P83940,ELOC_MOUSE,Eloc,Elongin-C,0.0,22477.6,
192,P84089,P84089,ERH_MOUSE,Erh,Enhancer of rudimentary homolog,0.0,25542.3,
193,O88735,O88735,MAP7_MOUSE,Map7,Ensconsin,0.0,22391.7,
194,Q5M8N4,Q5M8N4,D39U1_MOUSE,Sdr39u1,Epimerase family protein SDR39U1,0.0,52176.3,
195,Q8VEH5,Q8VEH5,EPMIP_MOUSE,Epm2aip1,EPM2A-interacting protein 1,0.0,59521.8,
196,Q8CHU3,Q8CHU3,EPN2_MOUSE,Epn2,Epsin-2,0.0,11388.6,
197,Q8C460,Q8C460,ERI3_MOUSE,Eri3,ERI1 exoribonuclease 3,0.0,72843.8,
198,Q8R1B4,Q8R1B4,EIF3C_MOUSE,Eif3c,Eukaryotic translation initiation factor 3 subunit C,0.0,40395.4,
199,O70194,O70194,EIF3D_MOUSE,Eif3d,Eukaryotic translation initiation factor 3 subunit D,0.0,46769.1,
200,Q9DCH4,Q9DCH4,EIF3F_MOUSE,Eif3f,Eukaryotic translation initiation factor 3 subunit F,0.0,25415.9,
201,Q91WK2,Q91WK2,EIF3H_MOUSE,Eif3h,Eukaryotic translation initiation factor 3 subunit H,0.0,78989.9,
202,Q9EST3,Q9EST3,4ET_MOUSE,Eif4enif1,Eukaryotic translation initiation factor 4E transporter,0.0,59698.0,
203,Q8R3S6,Q8R3S6,EXOC1_MOUSE,Exoc1,Exocyst complex component 1,0.0,31293.9,
204,A6H5Z3;Q8R313,Q8R313;A6H5Z3,EXC6B_MOUSE;EXOC6_MOUSE,Exoc6;Exoc6b,Exocyst complex component 6B,0.0,8816.11,
205,Q6PGF7,Q6PGF7,EXOC8_MOUSE,Exoc8,Exocyst complex component 8,0.0,46215.9,
206,Q9CXP9,Q9CXP9,EXO5_MOUSE,Exo5,Exonuclease V,0.0,13441.6,
207,P56960,P56960,EXOSX_MOUSE,Exosc10,Exosome component 10,0.0,23300.3,
208,Q9CZU3,Q9CZU3,MTREX_MOUSE,Mtrex,Exosome RNA helicase MTR4,0.0,84161.6,
209,P47753,P47753,CAZA1_MOUSE,Capza1,F-actin-capping protein subunit alpha-1,0.0,18537.0,
210,Q61553,Q61553,FSCN1_MOUSE,Fscn1,Fascin,0.0,32229.2,
211,Q05816,Q05816,FABP5_MOUSE,Fabp5,Fatty acid-binding protein 5,0.0,54502.8,
212,A2RT62,A2RT62,FXL16_MOUSE,Fbxl16,F-box/LRR-repeat protein 16,0.0,49716.6,
213,Q8K3B1,Q8K3B1,FBSP1_MOUSE,Fbxo45,F-box/SPRY domain-containing protein 1,0.0,29188.8,
214,E9PV24,E9PV24,FIBA_MOUSE,Fga,Fibrinogen alpha chain,0.0,146535.0,
215,Q8K0E8,Q8K0E8,FIBB_MOUSE,Fgb,Fibrinogen beta chain,0.0,24286.2,
216,Q8VCM7,Q8VCM7,FIBG_MOUSE,Fgg,Fibrinogen gamma chain,0.0,74461.8,
217,Q91WJ0,Q91WJ0,FRS3_MOUSE,Frs3,Fibroblast growth factor receptor substrate 3,0.0,23953.8,
218,P11276,P11276,FINC_MOUSE,Fn1,Fibronectin,0.0,32513.4,
219,Q7TPM6,Q7TPM6,FSD1_MOUSE,Fsd1,Fibronectin type III and SPRY domain-containing protein 1,0.0,19417.1,
220,Q9WVH9,Q9WVH9,FBLN5_MOUSE,Fbln5,Fibulin-5,0.0,22721.7,
221,Q8BTM8,Q8BTM8,FLNA_MOUSE,Flna,Filamin-A,0.0,59791.3,
222,Q80X90,Q80X90,FLNB_MOUSE,Flnb,Filamin-B,0.0,0.0,
223,Q8CI03,Q8CI03,FWCH1_MOUSE,Flywch1,FLYWCH-type zinc finger-containing protein 1,0.0,72774.6,
224,Q5F2E7,Q5F2E7,NUFP2_MOUSE,Nufip2,FMR1-interacting protein NUFIP2,0.0,41126.4,
225,P34152,P34152,FAK1_MOUSE,Ptk2,Focal adhesion kinase 1,0.0,14243.5,
